products:ID,value,:LABEL
2073087,廊坊银行“京津明珠”理财智富系列01号825期（个人客户）,理财产品
2071248,明珠理财月月赢系列2020年第280期,理财产品
2068629,蕴通财富粤新享,理财产品
2066709,珠海农商银行金盈丰盈系列第955期,理财产品
2081622,丹东银行“银杏理财”第20206009期理财产品,理财产品
2081429,久赢理财-聚富20022号,理财产品
2081427,久赢理财-安富20088号,理财产品
2080972,义乌农商银行“丰收·富盈”2020年第51期人民币理财产品,理财产品
2080961,义乌农商银行“丰收·喜盈”2020年第54期人民币理财产品,理财产品
2079666,丰收信福2020年第29期封闭净值型理财产品,理财产品
2079402,丰收丰叶A2020年第74期,理财产品
2079343,兰溪农商银行“丰收信福”2020年第10期封闭净值型人民币理财产品,理财产品
2079050,中银基智通理财计划-流动性增强系列2020年A20533期,理财产品
2079048,中银基智通理财计划-流动性增强系列2020年A20535期,理财产品
2078959,“幸福99”丰裕3号固定收益类20096期银行理财计划,理财产品
2078950,"\""幸福99\""丰裕盈家KF01号银行理财计划第5113期预约35天型",理财产品
2078789,南昌农商银行百福理财禧临门系列CG10620200630097,理财产品
2078726,浙江长兴农村商业银行股份有限公司“丰收信福”2020年第18期封闭净值型人民币理财产品,理财产品
2078111,昆明官渡农村合作银行农信赢安心系列净值型理财产品第49期,理财产品
2078110,昆明官渡农村合作银行农信赢安心系列净值型理财产品第48期,理财产品
2078109,昆明官渡农村合作银行农信赢安心系列净值型理财产品第47期,理财产品
2078012,瑞安农商银行丰收信福2020年第035期封闭式净值型理财产品,理财产品
2077765,"临海农商银行\""丰收信福\""2020年第35期净值型人民币理财产品",理财产品
2077596,余姚农村商业银行丰收信福2020044期封闭净值型理财产品,理财产品
2074029,交银理财稳享固收精选两年定开2号理财产品,理财产品
2073862,定海海洋农商银行“海洋184号”人民币理财产品,理财产品
2071882,稳健成长（2020）108期,理财产品
2071727,佛山农商银行2020年金狮理财福禄系列第120期理财计划,理财产品
2071245,明珠理财月月赢系列2020年第277期,理财产品
2068634,蕴通财富粤惠1号,理财产品
2066459,金葵树同赢191219期理财产品,理财产品
2052230,紫金财富安鑫盈200043期人民币理财产品,理财产品
2048010,中国建设银行上海市分行“乾元―智盈”2020年第106期（高净客户）人民币理财产品,理财产品
2046886,交银理财稳享固收增强2年封闭式10号（私银专享）理财产品,理财产品
1921391,润盈财富3号216期,理财产品
2083838,渤海银行FG20021号封闭式固定收益类净值型理财产品,理财产品
2083837,渤海银行FG20020号封闭式固定收益类净值型理财产品,理财产品
2081803,阳光紫尊享1期,理财产品
2080408,普陀农商银行丰收信福2020年第36期封闭式净值型理财产品,理财产品
2079629,"新昌农商银行\""天姥创富\""2020年第70期人民币理财产品",理财产品
2079545,邮银财富·瑞享2020年第86期,理财产品
2079542,邮银财富·债券2020年第95期,理财产品
2079231,中银平稳理财计划-智荟系列202181期,理财产品
2079227,中银平稳理财计划-智荟系列202177期,理财产品
2079226,中银平稳理财计划-智荟系列202176期,理财产品
2079184,(财富级客户专属)中银平稳理财计划-智荟系列202135期,理财产品
2079057,中银基智通理财计划-流动性增强系列2020年A20526期,理财产品
2079056,中银基智通理财计划-流动性增强系列2020年A20527期,理财产品
2078955,"\""幸福99\""丰裕盈家KF02号银行理财计划第2995期预约35天型",理财产品
2078381,中国建设银行山东省分行“乾元通财”2020年第229期理财产品,理财产品
2078166,喜利宝2020年第35期,理财产品
2078032,“幸福99”卓越增盈小企业专属第200082期预约98天型,理财产品
2078031,“幸福99”卓越增盈小企业专属第200081期预约31天型,理财产品
2077973,元亨第2031期净值型人民币理财产品,理财产品
2077835,徽商银行智慧理财“创赢”系列-徽福固定收益类净值型理财产品200010,理财产品
2077771,“药都聚财”系列2020年第82期非保本型人民币公募理财产品,理财产品
2077413,(邀约专属)中银平稳理财计划-智荟系列201996期,理财产品
2076982,宁波通商银行“通银丰利”系列安心赢理财第58期,理财产品
2076978,宁波通商银行“通银丰利”系列薪利盈理财8号第144期个人理财计划,理财产品
2076965,宁波通商银行“通银丰利”系列薪利盈理财2号第1019期个人理财计划,理财产品
2076634,中银理财-智富（封闭式）2020年20期,理财产品
2076631,中银理财“稳富”固收增强（封闭式）2020年52期,理财产品
2075544,中银平稳理财计划-智荟系列208746期,理财产品
2075543,中银平稳理财计划-智荟系列208745期,理财产品
2075540,中银平稳理财计划-智荟系列208742期,理财产品
2075539,中银平稳理财计划-智荟系列208741期,理财产品
2075482,富民尊荣第00316期人民币理财产品,理财产品
2074352,永康农商银行“丰收.吉祥”2020年第50期人民币理财产品,理财产品
2073943,元亨第2022期净值型人民币理财产品,理财产品
2073119,廊坊银行坊银系列理财稳健型1号2062期（个人客户）,理财产品
2072706,上海银行“惠享”系列理财产品（WPHX20M03024期),理财产品
2072101,(手机银行理财季)中银平稳理财计划-智荟系列201789期,理财产品
2071726,佛山农商银行2020年金狮理财福禄系列第119期理财计划,理财产品
2070595,鼎泰丰2020027期人民币理财产品,理财产品
2068822,福通A20074期人民币理财产品,理财产品
2067903,"\""金杉聚富\""524期人民币理财产品",理财产品
2066457,金葵树同赢191217期理财产品,理财产品
2064537,农银理财“农银进取·两年开放”价值精选第6期人民币理财产品,理财产品
2059369,吉祥-添金第2075期人民币理财产品,理财产品
2059189,蕴通财富粤享,理财产品
2057772,中国建设银行苏州分行“乾元-鑫溢江南”非保本型人民币2020年第576期理财产品,理财产品
2047962,中国建设银行上海市分行“乾元”盈系列2020年第86期人民币理财产品,理财产品
1893179,浦发银行启臻逐月系列之养老精选16号理财计划,理财产品
2084249,“幸福99”金钻固定收益类20093期银行理财计划,理财产品
2084150,中国建设银行“乾元―特享型”固定收益类封闭式净值型人民币理财产品2020年第12期,理财产品
2083867,“富民共利”2020年第六期净值型人民币理财产品,理财产品
2083380,2020封闭式私募净值型13067号（迎行庆助发展专属理财）,理财产品
2081793,工银浙江法人固定收益类理财产品20ZJ013J,理财产品
2079290,中银平稳理财计划-智荟系列202240期,理财产品
2079266,中银平稳理财计划-智荟系列202216期,理财产品
2079217,中银平稳理财计划-智荟系列202167期,理财产品
2078964,“幸福99”卓越增盈第200166期预约35天型,理财产品
2078920,浙江安吉农村商业银行股份有限公司“丰收·信福”2020年第16期封闭净值型人民币理财产品,理财产品
2078887,海融财富·钱潮系列人民币个人理财计划2020年83期,理财产品
2078886,海融财富·钱潮系列人民币个人理财计划2020年82期,理财产品
2078885,海融财富·钱潮系列人民币个人理财计划2020年81期,理财产品
2078871,海融财富·尊享系列人民币个人理财计划2020年181期,理财产品
2078833,海融财富·创赢系列人民币个人理财计划2020年523期,理财产品
2078815,海融财富·创赢系列人民币个人理财计划2020年505期,理财产品
2078803,海融财富·创赢系列人民币个人理财计划2020年493期,理财产品
2078379,中国建设银行山东省分行“乾元通财”2020年第227期理财产品,理财产品
2077794,益民理财·“盈鑫”理财计划588号,理财产品
2077250,聚多宝·多盈第20021期净值型人民币理财产品,理财产品
2076616,中国建设银行苏州分行“乾元―鑫溢江南”非保本型人民币2020年第297期理财产品,理财产品
2074017,龙盈固定收益类TS款23号理财产品,理财产品
2073802,2020汇富净值378期,理财产品
2073798,2020汇富净值374期,理财产品
2072668,“乾元-顺鑫”2020年第77期理财产品,理财产品
2071725,佛山农商银行2020年金狮理财福禄系列第118期理财计划,理财产品
2071051,蒙银财慧系列20074期A款,理财产品
2068287,漓江理财2020-94期（夜市专享）,理财产品
2065911,“财丰理财”CF200186期人民币理财产品,理财产品
2065909,“财丰理财”CF200184期人民币理财产品,理财产品
2065871,“财坤”CK200152期人民币理财产品,理财产品
2065529,中国建设银行浙江省分行“乾元-赢来赢往系列”2020年第7期封闭式净值型人民币理财产品,理财产品
2065528,中国建设银行浙江省分行“乾元-赢来赢往系列”2020年第6期封闭式净值型人民币理财产品,理财产品
2065468,顺德农村商业银行精英理财系列之优利增长1号20034期人民币理财计划,理财产品
2047981,兴业银行和鑫财富-鑫·胜系列2020年第01期非保本浮动收益封闭式人民币理财产品D款,理财产品
2047488,小龙人理财和盛系列龙信1062号,理财产品
2046681,公司红棉理财-XX天资产组合投资型人民币理财产品,理财产品
2034221,新盈377号B款,理财产品
2034220,新盈377号A款,理财产品
2013310,中信理财之智赢稳健定开系列05期人民币理财产品,理财产品
2035487,大华银行（中国）“尊享”代客境外理财计划证券挂钩可转换结构性票据人民币A境外人民币计价款ELNTM20011CNYH,理财产品
2035062,中银平稳理财计划-智荟系列208373期,理财产品
2050340,金宝理财2020053期,理财产品
2050339,金宝理财2020052期,理财产品
2050338,金宝理财2020051期,理财产品
2073617,"\""金杉聚富\""528期人民币理财产品",理财产品
2082387,浙江安吉农村商业银行股份有限公司“富润·安吉”2020年第26期人民币理财产品,理财产品
2080982,义乌农商银行“丰收·富盈”2020年第61期人民币理财产品,理财产品
2083012,定海海洋农商银行“海洋186号”人民币理财产品,理财产品
2081261,浙江临安农村商业银行股份有限公司丰收信福2020年第30期封闭式净值型人民币理财产品,理财产品
2077643,浙江桐庐农村商业银行股份有限公司丰收信福2020年第27期封闭净值型人民币理财产品,理财产品
2083550,普陀农商银行丰收信福2020年第40期封闭式净值型理财产品,理财产品
2080969,义乌农商银行“丰收·喜盈”2020年第62期人民币理财产品,理财产品
2079405,丰收丰叶A2020年第77期,理财产品
2073596,"\""金杉聚富\""527期人民币理财产品",理财产品
2050334,金宝理财2020047期,理财产品
2079401,丰收丰叶A2020年第73期,理财产品
2078245,浙江青田农村商业银行股份有限公司“盈侨·赢赢得利”2020年第25期人民币理财产品,理财产品
2083552,普陀农商银行丰收信福2020年第43期封闭式净值型理财产品,理财产品
2082735,定海海洋农商银行“丰收信福”2020A003期净值型理财产品,理财产品
2081260,浙江临安农村商业银行股份有限公司丰收信福2020年第29期封闭式净值型人民币理财产品,理财产品
2080967,义乌农商银行“丰收·喜盈”2020年第60期人民币理财产品,理财产品
2083548,普陀农商银行丰收信福2020年第39期封闭式净值型理财产品,理财产品
2080979,义乌农商银行“丰收·富盈”2020年第58期人民币理财产品,理财产品
2080960,义乌农商银行“丰收·信福”2020年第19期净值型人民币理财产品,理财产品
2082721,定海海洋农商银行“丰收信福”2020年012期净值型理财产品,理财产品
2082261,浙江安吉农村商业银行股份有限公司“富润·安吉”2020年第25期人民币理财产品,理财产品
2079817,尧享心安系列理财产品2020年第2期,理财产品
2079404,丰收丰叶A2020年第76期,理财产品
2078728,浙江长兴农村商业银行股份有限公司“丰收信福”2020年第20期封闭净值型人民币理财产品,理财产品
2070561,"\""金杉聚富\""526期人民币理财产品",理财产品
2081456,江山农商银行丰收信福2020年第8期封闭净值型理财产品,理财产品
2083551,普陀农商银行丰收信福2020年第42期封闭式净值型理财产品,理财产品
2083232,衢江农商银行“丰收信福”2020年第5期封闭净值型理财产品,理财产品
2081259,浙江临安农村商业银行股份有限公司丰收信福2020年第28期封闭式净值型人民币理财产品,理财产品
2078126,宁波市市区农村信用合作联社丰收信福净值型理财产品第2020011A期,理财产品
2077641,浙江桐庐农村商业银行股份有限公司丰收信福2020年第25期封闭净值型人民币理财产品,理财产品
2071880,稳健成长（2020）106期,理财产品
2080976,义乌农商银行“丰收·富盈”2020年第55期人民币理财产品,理财产品
2080959,义乌农商银行“丰收·信福”2020年第18期净值型人民币理财产品,理财产品
2079695,紫气东来人民币理财计划871期,理财产品
2071879,稳健成长（2020）105期,理财产品
2079411,丰收丰润2020年第48期,理财产品
2079410,丰收丰润2020年第47期,理财产品
2079409,丰收丰润2020年第46期,理财产品
2079344,兰溪农商银行“丰收信福”2020年第11期封闭净值型人民币理财产品,理财产品
2078933,浙江安吉农村商业银行股份有限公司“富润·安吉”2020年第24期人民币理财产品,理财产品
2066460,金葵树同赢191220期理财产品,理财产品
2080963,义乌农商银行“丰收·喜盈”2020年第56期人民币理财产品,理财产品
2079811,龙游农商行丰收信福2020年第七期封闭净值型理财产品,理财产品
2077724,南充农商银行财汇盈·添金第81期保本浮动收益型理财产品,理财产品
2079543,邮银财富·尊享2020年第30期,理财产品
2076269,蕴通财富粤新享,理财产品
2071878,稳健成长（2020）104期,理财产品
2071251,明珠理财月月赢系列2020年第283期,理财产品
2071250,明珠理财月月赢系列2020年第282期,理财产品
2082772,普陀农商银行丰收信福2020年第41期封闭式净值型理财产品,理财产品
2080975,义乌农商银行“丰收·富盈”2020年第54期人民币理财产品,理财产品
2080962,义乌农商银行“丰收·喜盈”2020年第55期人民币理财产品,理财产品
2079953,浙江临安农村商业银行股份有限公司丰收信福2020年第27期封闭式净值型人民币理财产品,理财产品
2079787,南浔银行丰收信福理财2020年第20期（总第38期）,理财产品
2079694,紫气东来人民币理财计划870期,理财产品
2079689,紫气东来人民币理财计划稳健1297期,理财产品
2078962,“幸福99”丰裕3号固定收益类20099期银行理财计划,理财产品
2078958,"\""幸福99\""丰裕盈家KF02号银行理财计划第2998期预约95天型",理财产品
2078578,福通T20053期人民币理财产品,理财产品
2077787,“药都聚财”系列2020年第84期非保本型人民币公募理财产品,理财产品
2077256,浙江金华成泰农村商业银行股份有限公司“丰收信福”2020年第十期封闭净值型人民币理财产品,理财产品
2077055,“如意宝”YB200110期人民币理财产品,理财产品
2068639,蕴通财富粤惠2号,理财产品
2081588,2020年盂盈斗金27号人民币理财产品,理财产品
2081431,久赢理财-安富20090号,理财产品
2080973,义乌农商银行“丰收·富盈”2020年第52期人民币理财产品,理财产品
2079399,年年有余一年定开7号,理财产品
2079325,吉祥如意吉祥·福第二十一期净值型理财产品,理财产品
2079307,(杏林卡专属)中银平稳理财计划-智荟系列202257期,理财产品
2078926,浙江安吉农村商业银行股份有限公司“财赋·安吉”2020年第19期人民币理财产品,理财产品
2078755,丰收信福2020年第17期封闭净值型,理财产品
2078244,浙江青田农村商业银行股份有限公司“盈侨·赢赢得利”2020年第24期人民币理财产品,理财产品
2077571,淳安农商丰收信福2020年第09期封闭净值型理财产品,理财产品
2077101,“财坤”CK200176期人民币理财产品,理财产品
2077066,“财丰理财”CF200194期人民币理财产品,理财产品
2075546,中银平稳理财计划-智荟系列208748期,理财产品
2073382,珠海农商银行金盈丰盈系列第979期,理财产品
2073121,廊坊银行坊银系列理财稳健型1号2064期（个人客户）,理财产品
2072589,厦门银行融鑫创信6个月定开8号净值型理财产品,理财产品
2071876,稳健成长（2020）102期,理财产品
2071733,建信理财“嘉鑫”封闭式理财产品2020年第52期,理财产品
2069407,广州银行红棉理财·智选系列理财产品（社保客户专享）,理财产品
2059033,顺德农商银行精英理财德享20027期封闭净值型理财产品,理财产品
2046550,顺德农商银行精英理财顺利20005期封闭净值型理财管理计划,理财产品
2083939,工银理财-共赢3号(沪)2020年法人专户第008期-20SH008Z,理财产品
2081606,丹东银行“意盈鑫”第20207027期沈阳大连辽阳营口地区专属理财产品,理财产品
2081605,丹东银行“意盈鑫”第20209056期理财产品,理财产品
2081430,久赢理财-e富20008号,理财产品
2081428,久赢理财-安富20089号,理财产品
2081324,丹东银行“意盈鑫”第20209055期理财产品,理财产品
2079241,中银平稳理财计划-智荟系列202191期,理财产品
2079237,中银平稳理财计划-智荟系列202187期,理财产品
2079236,中银平稳理财计划-智荟系列202186期,理财产品
2079049,中银基智通理财计划-流动性增强系列2020年A20534期,理财产品
2078960,“幸福99”丰裕3号固定收益类20097期银行理财计划,理财产品
2078952,"\""幸福99\""丰裕盈家KF01号银行理财计划第5115期预约89天型",理财产品
2078951,"\""幸福99\""丰裕盈家KF01号银行理财计划第5114期预约63天型",理财产品
2078839,南昌农商银行百福理财禧临门系列CG10620200630098,理财产品
2078255,2020年长吉55期,理财产品
2077597,余姚农村商业银行丰收信福2020045期封闭净值型理财产品,理财产品
2076966,宁波通商银行“通银丰利”系列薪利盈理财2号第1020期个人理财计划,理财产品
2076385,中银平稳理财计划-智荟系列209110期,理财产品
2075353,中国建设银行辽宁省分行“乾元-天长利久”2020年227期理财产品,理财产品
2074441,金阿福创赢半年享净值型理财,理财产品
2073605,南通农村商业银行金贝财富·共盈理财季季丰惠民专享-7,理财产品
2073603,南通农村商业银行金贝财富·共盈理财双月盈-181,理财产品
2073602,南通农村商业银行金贝财富·共盈理财月月盈-181,理财产品
2072248,吉林银行吉利财富成长系列2020年第87期,理财产品
2071986,萧山农商银行“萧银理财增盈”2020年第276期人民币理财产品,理财产品
2071336,金翼宝系列948号,理财产品
2071275,“红棉理财·广银增富”资产组合投资型人民币理财产品,理财产品
2071247,明珠理财月月赢系列2020年第279期,理财产品
2071246,明珠理财月月赢系列2020年第278期,理财产品
2068968,创富317期98天,理财产品
2059190,蕴通财富粤享,理财产品
2052563,金宝理财2020044期,理财产品
2023611,顺德农商银行精英理财顺享20015期封闭净值型理财管理计划,理财产品
2080883,珠海农商银行金盈丰盈系列第996期,理财产品
2079551,邮银财富·智享2020年第55期,理财产品
2079548,邮银财富·智享2020年第58期,理财产品
2079541,邮银财富·智享2020年第56期,理财产品
2079183,(理财级客户专属)中银平稳理财计划-智荟系列202134期,理财产品
2079055,中银基智通理财计划-流动性增强系列2020年A20528期,理财产品
2079054,中银基智通理财计划-流动性增强系列2020年A20529期,理财产品
2078957,"\""幸福99\""丰裕盈家KF02号银行理财计划第2997期预约90天型",理财产品
2078956,"\""幸福99\""丰裕盈家KF02号银行理财计划第2996期预约63天型",理财产品
2078913,“万利宝”个人理财2020年第8期,理财产品
2078699,招商银行青葵系列两年定开010号理财计划,理财产品
