:START_ID,:END_ID,:TYPE
2075322,n3p13,产品起始日期
n3p13,2075322,产品
2075322,n5p16,产品终止日期
n5p16,2075322,产品
2075322,n0p17,产品状态
n0p17,2075322,产品
2075322,n2p18,实际天数（天）
n2p18,2075322,产品
2075322,n0p19,收益类型
n0p19,2075322,产品
2075322,n0p20,产品销售区域
n0p20,2075322,产品
2075322,n0p21,机构类别
n0p21,2075322,产品
2075322,n0p22,认购价格
n0p22,2075322,产品
2050336,n6p0,登记编码
n6p0,2050336,产品
2050336,n0p3,期限类型
n0p3,2050336,产品
2050336,n0p4,业绩比较基准
n0p4,2050336,产品
2050336,n0p5,发行机构
n0p5,2050336,产品
2050336,n0p6,发行机构代码
n0p6,2050336,产品
2050336,n0p7,募集方式
n0p7,2050336,产品
2050336,n0p8,运作模式
n0p8,2050336,产品
2050336,n0p9,投资性质
n0p9,2050336,产品
2050336,n0p10,募集币种
n0p10,2050336,产品
2050336,n0p11,风险等级编号
n0p11,2050336,产品
2050336,n0p12,风险等级
n0p12,2050336,产品
2050336,n5p13,募集起始日期
n5p13,2050336,产品
2050336,n5p13,募集结束日期
n5p13,2050336,产品
2050336,n3p13,产品起始日期
n3p13,2050336,产品
2050336,n5p16,产品终止日期
n5p16,2050336,产品
2050336,n0p17,产品状态
n0p17,2050336,产品
2050336,n2p18,实际天数（天）
n2p18,2050336,产品
2050336,n0p19,收益类型
n0p19,2050336,产品
2050336,n0p20,产品销售区域
n0p20,2050336,产品
2050336,n0p21,机构类别
n0p21,2050336,产品
2050336,n0p22,认购价格
n0p22,2050336,产品
2083055,n7p0,登记编码
n7p0,2083055,产品
2083055,n0p3,期限类型
n0p3,2083055,产品
2083055,n0p11,业绩比较基准
n0p11,2083055,产品
2083055,n7p5,发行机构
n7p5,2083055,产品
2083055,n7p6,发行机构代码
n7p6,2083055,产品
2083055,n0p7,募集方式
n0p7,2083055,产品
2083055,n0p8,运作模式
n0p8,2083055,产品
2083055,n0p9,投资性质
n0p9,2083055,产品
2083055,n0p10,募集币种
n0p10,2083055,产品
2083055,n2p11,风险等级编号
n2p11,2083055,产品
2083055,n2p12,风险等级
n2p12,2083055,产品
2083055,n7p13,募集起始日期
n7p13,2083055,产品
2083055,n7p13,募集结束日期
n7p13,2083055,产品
2083055,n7p15,产品起始日期
n7p15,2083055,产品
2083055,n7p16,产品终止日期
n7p16,2083055,产品
2083055,n0p17,产品状态
n0p17,2083055,产品
2083055,n7p18,实际天数（天）
n7p18,2083055,产品
2083055,n2p19,收益类型
n2p19,2083055,产品
2083055,n7p20,产品销售区域
n7p20,2083055,产品
2083055,n0p21,机构类别
n0p21,2083055,产品
2083055,n7p22,认购价格
n7p22,2083055,产品
2050335,n8p0,登记编码
n8p0,2050335,产品
2050335,n0p3,期限类型
n0p3,2050335,产品
2050335,n0p4,业绩比较基准
n0p4,2050335,产品
2050335,n0p5,发行机构
n0p5,2050335,产品
2050335,n0p6,发行机构代码
n0p6,2050335,产品
2050335,n0p7,募集方式
n0p7,2050335,产品
2050335,n0p8,运作模式
n0p8,2050335,产品
2050335,n0p9,投资性质
n0p9,2050335,产品
2050335,n0p10,募集币种
n0p10,2050335,产品
2050335,n0p11,风险等级编号
n0p11,2050335,产品
2050335,n0p12,风险等级
n0p12,2050335,产品
2050335,n8p13,募集起始日期
n8p13,2050335,产品
2050335,n8p13,募集结束日期
n8p13,2050335,产品
2050335,n5p13,产品起始日期
n5p13,2050335,产品
2050335,n8p16,产品终止日期
n8p16,2050335,产品
2050335,n0p17,产品状态
n0p17,2050335,产品
2050335,n2p18,实际天数（天）
n2p18,2050335,产品
2050335,n0p19,收益类型
n0p19,2050335,产品
2050335,n0p20,产品销售区域
n0p20,2050335,产品
2050335,n0p21,机构类别
n0p21,2050335,产品
2050335,n0p22,认购价格
n0p22,2050335,产品
2083553,n9p0,登记编码
n9p0,2083553,产品
2083553,n9p3,期限类型
n9p3,2083553,产品
2083553,n0p11,业绩比较基准
n0p11,2083553,产品
2083553,n9p5,发行机构
n9p5,2083553,产品
2083553,n9p6,发行机构代码
n9p6,2083553,产品
2083553,n0p7,募集方式
n0p7,2083553,产品
2083553,n9p8,运作模式
n9p8,2083553,产品
2083553,n0p9,投资性质
n0p9,2083553,产品
2083553,n0p10,募集币种
n0p10,2083553,产品
2083553,n2p11,风险等级编号
n2p11,2083553,产品
2083553,n2p12,风险等级
n2p12,2083553,产品
2083553,n9p13,募集起始日期
n9p13,2083553,产品
2083553,n9p13,募集结束日期
n9p13,2083553,产品
2083553,n7p13,产品起始日期
n7p13,2083553,产品
2083553,n9p16,产品终止日期
n9p16,2083553,产品
2083553,n0p17,产品状态
n0p17,2083553,产品
2083553,n2p18,实际天数（天）
n2p18,2083553,产品
2083553,n2p19,收益类型
n2p19,2083553,产品
2083553,n7p20,产品销售区域
n7p20,2083553,产品
2083553,n0p21,机构类别
n0p21,2083553,产品
2083553,n7p22,认购价格
n7p22,2083553,产品
2080971,n10p0,登记编码
n10p0,2080971,产品
2080971,n9p3,期限类型
n9p3,2080971,产品
2080971,n0p11,业绩比较基准
n0p11,2080971,产品
2080971,n10p5,发行机构
n10p5,2080971,产品
2080971,n10p6,发行机构代码
n10p6,2080971,产品
2080971,n0p7,募集方式
n0p7,2080971,产品
2080971,n0p8,运作模式
n0p8,2080971,产品
2080971,n0p9,投资性质
n0p9,2080971,产品
2080971,n0p10,募集币种
n0p10,2080971,产品
2080971,n2p11,风险等级编号
n2p11,2080971,产品
2080971,n2p12,风险等级
n2p12,2080971,产品
2080971,n10p13,募集起始日期
n10p13,2080971,产品
2080971,n10p13,募集结束日期
n10p13,2080971,产品
2080971,n7p13,产品起始日期
n7p13,2080971,产品
2080971,n10p16,产品终止日期
n10p16,2080971,产品
2080971,n0p17,产品状态
n0p17,2080971,产品
2080971,n10p18,实际天数（天）
n10p18,2080971,产品
2080971,n2p19,收益类型
n2p19,2080971,产品
2080971,n7p20,产品销售区域
n7p20,2080971,产品
2080971,n0p21,机构类别
n0p21,2080971,产品
2080971,n0p22,认购价格
n0p22,2080971,产品
