property:ID,value,:LABEL
n39p16,2020/10/19,产品终止日期
n39p18,98,实际天数（天）
n40p0,C1124020000071,登记编码
n40p5,浙江瑞安农村商业银行股份有限公司,发行机构
n40p6,C11240,发行机构代码
n41p0,C1123120000029,登记编码
n41p16,2021/07/16,产品终止日期
n42p0,C1126520000038,登记编码
n42p3,1-3年（含）,期限类型
n42p13,2020/07/08,募集起始日期
n42p16,2021/07/13,产品终止日期
n43p0,C3212220000008,登记编码
n43p5,浙江开化农村商业银行股份有限公司,发行机构
n43p6,C32122,发行机构代码
n44p0,C1125620000155,登记编码
n45p0,C1239620000050,登记编码
n45p16,2020/11/24,产品终止日期
n45p18,132,实际天数（天）
n46p0,C1126420000029,登记编码
n46p13,2020/07/07,募集起始日期
n46p16,2020/10/15,产品终止日期
n46p18,93,实际天数（天）
n47p0,C3168220000027,登记编码
n47p5,山西盂县农村商业银行股份有限公司,发行机构
n47p6,C31682,发行机构代码
n48p0,C1122920000169,登记编码
n48p5,浙江杭州余杭农村商业银行股份有限公司,发行机构
n48p6,C11229,发行机构代码
n48p16,2020/10/13,产品终止日期
n49p0,C1124720000047,登记编码
n50p0,C1010420003497,登记编码
n50p5,中国银行股份有限公司,发行机构
n50p6,C10104,发行机构代码
n50p16,2020/12/15,产品终止日期
n50p18,161,实际天数（天）
n50p20,"北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,大连,宁波,厦门,青岛,深圳",产品销售区域
n50p21,国有银行,机构类别
n51p0,C1138220000026,登记编码
n51p16,2020/10/12,产品终止日期
n52p0,C3132420000039,登记编码
n53p0,C1150120000096,登记编码
n53p13,2020/07/06,募集起始日期
n53p18,151,实际天数（天）
n54p0,C1150120000095,登记编码
n55p0,C1040320000360,登记编码
n55p5,中国邮政储蓄银行股份有限公司,发行机构
n55p6,C10403,发行机构代码
n55p13,2020/07/03,募集起始日期
n55p18,120,实际天数（天）
n55p20,"北京,天津,河北,山西,内蒙古,辽宁,大连,吉林,黑龙江,上海,江苏,宁波,浙江,安徽,福建,厦门,江西,青岛,山东,河南,湖北,湖南,广东,深圳,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆",产品销售区域
n56p0,C1040320000355,登记编码
n56p16,2021/07/01,产品终止日期
n56p18,360,实际天数（天）
n56p22,100000.0,认购价格
n57p0,C1092020000694,登记编码
n57p5,杭州银行股份有限公司,发行机构
n57p6,C10920,发行机构代码
n57p16,2020/10/09,产品终止日期
n57p18,94,实际天数（天）
n57p20,"浙江,宁波,北京,上海,江苏,安徽,深圳",产品销售区域
n58p0,C3209720000059,登记编码
n59p0,C1077220000136,登记编码
n59p5,宁波通商银行股份有限公司,发行机构
n59p6,C10772,发行机构代码
n59p20,"上海,浙江",产品销售区域
n60p0,C1083520000250,登记编码
n60p3,7天-1个月(含),期限类型
n60p5,廊坊银行股份有限公司,发行机构
n60p6,C10835,发行机构代码
n60p16,2020/08/07,产品终止日期
n60p18,31,实际天数（天）
n60p20,"河北,天津",产品销售区域
n61p0,C1081020000355,登记编码
n61p5,大连银行股份有限公司,发行机构
n61p6,C10810,发行机构代码
n61p20,"江苏,北京,天津,辽宁,上海,重庆,四川",产品销售区域
n62p0,C1040320000230,登记编码
n62p18,150,实际天数（天）
n63p0,C1239620000055,登记编码
n63p13,2020/07/02,募集起始日期
n63p16,2099/07/09,产品终止日期
n64p0,C1126520000035,登记编码
n64p16,2021/07/08,产品终止日期
n64p18,366,实际天数（天）
n65p0,C3207620000046,登记编码
n65p5,浙江临安农村商业银行股份有限公司,发行机构
n65p6,C32076,发行机构代码
n66p0,C1092020000702,登记编码
n66p16,2022/07/21,产品终止日期
n66p18,742,实际天数（天）
n66p22,300000.0,认购价格
n67p0,C1117320000024,登记编码
n67p5,江苏兴化农村商业银行股份有限公司,发行机构
n67p6,C11173,发行机构代码
n67p16,2020/10/10,产品终止日期
n68p0,C3208120000034,登记编码
n69p0,C1124020000070,登记编码
n70p0,C1150120000093,登记编码
n71p0,C1123120000025,登记编码
n72p0,C1092720000471,登记编码
n72p5,浙江稠州商业银行股份有限公司,发行机构
n72p6,C10927,发行机构代码
n72p20,"上海,江苏,浙江,福建,宁波,江西,广东,云南,四川,重庆",产品销售区域
n73p0,C3249820000063,登记编码
n73p5,山西运城农村商业银行股份有限公司,发行机构
n73p6,C32498,发行机构代码
n73p18,103,实际天数（天）
n74p0,C1083520000251,登记编码
n74p16,2020/12/29,产品终止日期
n74p18,179,实际天数（天）
n75p0,C1089920000104,登记编码
n75p5,威海市商业银行股份有限公司,发行机构
n75p6,C10899,发行机构代码
n75p20,"天津,山东,青岛",产品销售区域
n76p0,C1082720000185,登记编码
n76p16,2020/11/18,产品终止日期
n76p18,133,实际天数（天）
n77p0,C3168320000023,登记编码
n77p16,2021/06/03,产品终止日期
n77p18,324,实际天数（天）
n78p0,C1125620000142,登记编码
n78p13,2020/07/01,募集起始日期
n78p18,97,实际天数（天）
n79p0,C1125620000137,登记编码
n80p0,C1122920000165,登记编码
n80p16,2020/12/10,产品终止日期
n81p0,C1092020000695,登记编码
n81p18,96,实际天数（天）
n82p0,Z7001020000186,登记编码
n82p5,中银理财有限责任公司,发行机构
n82p6,Z70010,发行机构代码
n82p16,2022/02/16,产品终止日期
n82p18,581,实际天数（天）
n82p20,"北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,深圳,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆",产品销售区域
n82p21,其他,机构类别
n82p22,1.0,认购价格
n83p0,C1089220000039,登记编码
n83p5,承德银行股份有限公司,发行机构
n83p6,C10892,发行机构代码
n83p20,河北,产品销售区域
n84p0,C1092720000525,登记编码
n84p16,2022/01/10,产品终止日期
n84p18,553,实际天数（天）
n85p0,C1092720000510,登记编码
